name,ccode,year,cinc,milper,milex,tpop,contig,distance,usuk,ideal_point,eigen,us_dist,uk_dist
Austria,305,2001,0.002548,35,1417000,8043,6,2839,0,0.9881508,0.06868312507867813,1.5879521999999997,0.6379142000000001
Austria,305,2002,0.002544,35,1532000,8084,6,2839,0,0.8902777,0.06859365105628967,1.7372233000000001,0.7838693000000001
Austria,305,2003,0.002546,35,1958000,8118,-9,2839,0,0.8951928,0.06809822469949722,1.9011682,0.7745792
Austria,305,2004,0.00252,37,2250000,8175,-9,2839,0,0.9233715,0.06687045842409134,1.8476344999999998,0.7114564999999999
Austria,305,2005,0.002568,39,2263000,8233,-9,2839,0,0.9523938,0.0663720890879631,1.9420452000000004,0.7188592000000001
Austria,305,2006,0.002503,40,2630000,8282,-9,2839,0,0.834602,0.06809312850236893,2.0448370000000002,0.69833
Azerbaijan,373,2001,0.001347,72,833000,8111,6,1131,0,-0.0384692,0.07966022938489914,2.6145722,1.6645342
Azerbaijan,373,2002,0.001614,72,900000,8172,6,1131,0,-0.08232272,0.07824741303920746,2.70982372,1.7564697200000001
Azerbaijan,373,2003,0.001512,66,950000,8234,-9,1131,0,-0.113835,0.07781808823347092,2.910196,1.783607
Azerbaijan,373,2004,0.001392,66,245000,8307,-9,1131,0,-0.1120381,0.07740339636802673,2.8830440999999998,1.7468660999999999
Azerbaijan,373,2005,0.001417,66,314000,8392,-9,1131,0,-0.202974,0.07765846699476242,3.0974130000000004,1.874227
Azerbaijan,373,2006,0.001273,67,658000,8485,-9,1131,0,-0.1174424,0.07695404440164566,2.9968814,1.6503744
Bahamas,31,2001,4.2e-5,1,29000,308,6,7779,1,-0.2566402,0.08072716742753983,2.8327432,1.8827052000000002
Bahamas,31,2002,4.2e-5,1,28000,312,6,7779,1,-0.3275059,0.07903634756803513,2.9550069,2.0016529
Bahamas,31,2003,4e-5,1,33000,317,-9,7779,1,-0.3204957,0.07835323363542557,3.1168567,1.9902677
Bahamas,31,2004,4.1e-5,1,34000,321,-9,7779,1,-0.4596145,0.07788919657468796,3.2306204999999997,2.0944425
Bahamas,31,2005,4.2e-5,1,36000,325,-9,7779,1,-0.5387373,0.0776916965842247,3.4331763000000004,2.2099903000000003
Bahamas,31,2006,4.3e-5,1,48000,330,-9,7779,1,-0.3584126,0.0776742622256279,3.2378516,1.8913446
Bahrain,692,2001,3.84e-4,11,364000,661,6,1246,0,-0.9238671,0.07615846395492554,3.4999700999999996,2.5499321000000004
